STATE,political_party,contacts_adj_mean,mask_adj_mean,contacts_adj_se,mask_adj_se
Indiana,Republican,6.183888510967586,57.38326224104829,1.0727024956810158,5.607697875962322
Iowa,Democrat,5.779311424146378,34.621316446759785,2.2508686008391376,11.163143258305604
Iowa,Independent,14.149459530814594,21.123572316717677,1.222566620557923,6.1895699628710545
Iowa,Republican,7.253779655849996,60.78803224656134,2.3492183345302413,11.341177584915673
Kansas,Democrat,7.383375216425164,78.08634278539253,1.7721919307696914,8.75283292168218
Kansas,Independent,10.706071612088554,58.337444671397954,1.7793885198703632,9.216795845663357
Kansas,Republican,5.562798772727327,31.152725764593043,2.5127925555995274,12.070457503408356
Kentucky,Democrat,6.759018827691683,42.91705125528804,1.4802612141902407,7.9497526484870535
Kentucky,Independent,5.815150672214481,32.085421390399915,1.1472882530937574,6.00815588637256
Kentucky,Republican,5.67551381815993,46.52113714773263,1.122671341149212,6.957509512265134
Louisiana,Democrat,5.0332180999580505,56.77443862203595,1.8241768888364853,8.693751807638707
Louisiana,Independent,6.908464377607723,23.410887172750574,1.8779431046777264,9.790930361892316
Louisiana,Republican,6.317477660809423,54.22608811686787,1.680603341404029,9.788824520086717
Maine,Democrat,17.536022279146735,76.53270885951142,4.320542274679704,23.527594136114445
Maine,Independent,7.056403120831996,33.0933864570449,2.353282926879317,11.64125400574561
Maine,Republican,3.2658315920136003,73.94170933430676,1.9775865385457698,11.659308344875619
Maryland,Democrat,4.160257232069012,69.96678897579214,1.5046908227385383,7.565869182783553
Maryland,Independent,3.2007083778143346,76.83001914308034,1.242316269186294,7.5437716042258485
Maryland,Republican,4.299299095936231,78.06800187567593,1.603279114042104,10.369175894074274
Massachusetts,Democrat,4.949695591546186,67.56326618328573,0.5000066353510212,2.845592426663774
Massachusetts,Independent,5.845048983566398,62.155697877046336,0.3170304009936566,1.6916729924943568
Massachusetts,Republican,6.235285168010126,58.30143768761951,0.6191189239925866,3.221148614749732
Michigan,Democrat,4.005561830402741,62.44575897708608,1.0380139621462035,6.056903947879603
Michigan,Independent,6.299157638648676,54.05280725967718,0.9760215196637974,5.0974768145282505
Michigan,Republican,10.243513962651816,41.45199013872874,1.049169645793859,5.426021490101053
Minnesota,Democrat,6.316934690578641,45.58132506638049,1.8095702325278638,10.500055273677376
Minnesota,Independent,4.551494400895328,60.74743698231623,1.9267887229405036,11.565271962438137
Minnesota,Republican,3.1872881236035426,26.859531960417666,1.562890038674513,8.39023507760863
Mississippi,Democrat,2.9753828605736836,66.97924098871489,2.02683685927915,11.787397868016315
Mississippi,Independent,4.029744938932396,40.31715110042462,2.080089547214154,10.78253754923546
Mississippi,Republican,3.591417838168134,69.83202658714718,1.9810267265624957,9.343683976746213
Missouri,Democrat,3.4481815477252966,46.11390749610208,1.3259496959060177,6.620725972126998
Missouri,Independent,5.0480883358307445,49.75880849725506,1.0579665825946138,5.8443339273240635
Missouri,Republican,7.906073730936722,40.95016743631699,1.5280703475671242,7.770868434493575
Montana,Democrat,9.203902720446841,64.3272756480643,3.9318113605552547,20.766055220151618
Montana,Independent,4.097651688582762,74.85704319319598,2.824317755241994,12.791463012005098
Montana,Republican,3.05808838345709,54.38175735694066,3.1076785289608,16.80717170108199
Nebraska,Democrat,6.695986437925447,74.53262332557658,2.7427496114266736,17.88691707762776
Nebraska,Independent,4.093984797910498,27.32141961753243,1.6945613427696804,10.530126432079719
Nebraska,Republican,3.3605060922870886,40.09781016401828,2.213283543625256,14.335822451504361
Nevada,Democrat,4.648471456456808,63.96172418851867,1.5118097296241304,8.545282321923128
Nevada,Independent,4.027216949433955,59.64871904389279,1.2980550075530128,7.81669454295653
Nevada,Republican,5.09941521857689,39.82844686356418,1.6888542687042964,10.13717328364976
New Hampshire,Democrat,4.413097643515651,70.18344599534082,0.9955809273088028,5.4781069498843395
New Hampshire,Independent,6.6846837048560275,58.99493130961707,0.6191410317493693,3.263082117458628
New Hampshire,Republican,6.06845081861502,61.92278447727413,0.9451403359219939,5.122499709938994
New Jersey,Democrat,5.143412759974492,67.38959498974143,0.48607834371307074,2.74139020091839
New Jersey,Independent,4.739041704288533,64.64634348055884,0.47459821910006056,2.8163251219911998
New Jersey,Republican,5.896979588254165,57.5413129312378,0.4967485112670374,2.5683706459149405
New Mexico,Democrat,3.123825853164377,60.12832470279452,2.2228085284327213,11.285748840941539
New Mexico,Independent,6.349180751950714,63.7358524227741,1.7211781146509728,8.860493158566058
New Mexico,Republican,4.154679937724353,16.146285779830183,2.4399234995552086,15.610335785850207
